ISO;Label;Population;Densite
DE-BW;Baden-Württemberg;11280257;310
DE-BY;Bayern;13369393;185
DE-BE;Berlin;3755251;4086
DE-BB;Brandenburg;2573135;85
DE-HB;Bremen;684864;1630
DE-HH;Hamburg;1892122;2439
DE-HE;Hessen;6391360;297
DE-MV;Mecklenburg-Vorpommern;1628378;69
DE-NI;Niedersachsen;8140242;168
DE-NW;Nordrhein-Westfalen;18139116;526
DE-RP;Rheinland-Pfalz;4159150;206
DE-SL;Saarland;992666;386
DE-SN;Sachsen;4086152;221
DE-ST;Sachsen-Anhalt;2186643;108
DE-SH;Schleswig-Holstein;2953270;183
DE-TH;Thüringen;2126846;133
